,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,business_id,stars,city,food_pos,service_pos,price_pos,clean_pos,location_pos,food_neg,service_neg,price_neg,clean_neg,location_neg
22,737008,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0.01,0,0.01,0.02,0.15,0.65,0.99,0.99,0.97,0.64
23,802963,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0,0.01,0.01,0.13,0.31,0.89,0.98,0.98,0.86,0.37
24,840423,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0,0,0.01,0.02,0.59,0.12,0.99,0.96,0.96,0.14
25,628178,tcreyfoiR2NFMuEz0UClrg,4,Vancouver,1,0.6,0.9,0.86,0.78,0,0.21,0.05,0.09,0.05
26,664338,tcreyfoiR2NFMuEz0UClrg,1,Vancouver,0.03,0.02,0.01,0.08,0.13,0.44,0.72,0.77,0.71,0.44
27,672594,tcreyfoiR2NFMuEz0UClrg,1,Vancouver,0.02,0.01,0.01,0.05,0.1,0.93,0.98,0.99,0.95,0.83
28,685883,tcreyfoiR2NFMuEz0UClrg,5,Vancouver,0.12,0.13,0.66,0.29,0.48,0.37,0.58,0.18,0.52,0.3
29,774765,tcreyfoiR2NFMuEz0UClrg,4,Vancouver,0.34,0.34,0.44,0.52,0.55,0.27,0.46,0.43,0.37,0.17
30,775802,tcreyfoiR2NFMuEz0UClrg,5,Vancouver,0.81,0.6,0.98,0.69,0.69,0.06,0.27,0.01,0.26,0.14
31,860038,tcreyfoiR2NFMuEz0UClrg,4,Vancouver,0.48,0.5,0.54,0.87,0.51,0.02,0.1,0.05,0.09,0.08
32,623624,TDT5DiZ9preK1ad0AFLlDw,5,Vancouver,1,0.81,0.91,0.8,0.76,0,0.1,0.04,0.14,0.1
33,690332,TDT5DiZ9preK1ad0AFLlDw,5,Vancouver,1,0.99,0.98,0.98,0.83,0,0.01,0.02,0.02,0.04
34,690461,TDT5DiZ9preK1ad0AFLlDw,3,Vancouver,0,0.1,0.05,0.28,0.27,0.24,0.76,0.89,0.65,0.38
35,721132,TDT5DiZ9preK1ad0AFLlDw,1,Vancouver,0,0.01,0.02,0.01,0.03,0.99,0.99,0.98,0.99,0.96
36,750812,TDT5DiZ9preK1ad0AFLlDw,3,Vancouver,0.39,0.43,0.45,0.5,0.28,0.01,0.32,0.36,0.38,0.27
37,781093,TDT5DiZ9preK1ad0AFLlDw,3,Vancouver,0.44,0.65,0.49,0.8,0.52,0.01,0.12,0.21,0.11,0.09
38,812257,TDT5DiZ9preK1ad0AFLlDw,5,Vancouver,1,0.32,0.37,0.68,0.52,0,0.13,0.21,0.15,0.09
39,832107,TDT5DiZ9preK1ad0AFLlDw,3,Vancouver,0.01,0.2,0.34,0.15,0.16,0.58,0.43,0.39,0.59,0.43
40,833677,TDT5DiZ9preK1ad0AFLlDw,4,Vancouver,0.8,0.8,0.69,0.74,0.54,0.01,0.05,0.17,0.17,0.11
41,657397,9c0TJ0m9Jq-PVyXUGzCT0A,5,Vancouver,0.23,0.29,0.21,0.72,0.76,0.58,0.57,0.73,0.24,0.11
42,392416,9c0TJ0m9Jq-PVyXUGzCT0A,5,Vancouver,1,0.99,0.99,0.95,0.87,0,0,0.01,0.04,0.04
43,441207,9c0TJ0m9Jq-PVyXUGzCT0A,5,Vancouver,0.97,1,0.99,0.99,0.98,0.02,0,0.01,0,0.01
44,740189,9c0TJ0m9Jq-PVyXUGzCT0A,5,Vancouver,0.99,0.99,0.93,0.76,0.71,0,0.01,0.05,0.19,0.14
45,643129,9c0TJ0m9Jq-PVyXUGzCT0A,5,Vancouver,0.14,1,0.91,0.94,0.76,0.01,0,0.04,0.04,0.07
46,783313,9c0TJ0m9Jq-PVyXUGzCT0A,5,Vancouver,0.69,0.4,0.58,0.8,0.64,0.14,0.42,0.33,0.15,0.14
47,143057,9c0TJ0m9Jq-PVyXUGzCT0A,4,Vancouver,0.52,0.6,0.71,0.75,0.7,0.39,0.31,0.17,0.2,0.12
48,824329,9c0TJ0m9Jq-PVyXUGzCT0A,4,Vancouver,0.33,0.57,0.62,0.54,0.74,0.5,0.34,0.32,0.39,0.16
49,766093,9c0TJ0m9Jq-PVyXUGzCT0A,3,Vancouver,0.03,0.15,0.89,0.52,0.96,0.01,0.6,0.04,0.32,0.03
50,655511,9c0TJ0m9Jq-PVyXUGzCT0A,2,Vancouver,0,0.01,0,0.02,0.05,0.99,0.98,0.98,0.97,0.8
51,790495,9c0TJ0m9Jq-PVyXUGzCT0A,1,Vancouver,0.01,0.01,0.01,0.05,0.07,0.89,0.98,0.99,0.95,0.88
52,597603,YIMAkkwK_8sBlUEnesSCZA,5,Vancouver,1,1,0.97,0.98,0.88,0,0,0.02,0.01,0.05
53,679683,YIMAkkwK_8sBlUEnesSCZA,5,Vancouver,0.74,0.51,0.89,0.92,0.83,0.01,0.42,0.09,0.07,0.07
54,857956,YIMAkkwK_8sBlUEnesSCZA,5,Vancouver,0.65,0.99,0.91,0.96,0.86,0.19,0.01,0.07,0.03,0.07
55,610932,YIMAkkwK_8sBlUEnesSCZA,5,Vancouver,0.07,0.21,0.25,0.19,0.5,0.54,0.66,0.66,0.7,0.26
56,243088,YIMAkkwK_8sBlUEnesSCZA,5,Vancouver,0.95,0.94,0.99,0.99,0.96,0.04,0.06,0.01,0.01,0.02
57,37653,YIMAkkwK_8sBlUEnesSCZA,5,Vancouver,0.88,1,0.97,0.91,0.9,0.05,0,0.02,0.06,0.03
58,649723,YIMAkkwK_8sBlUEnesSCZA,4,Vancouver,0.54,0.9,0.96,0.91,0.86,0.16,0.06,0.02,0.06,0.06
59,729602,YIMAkkwK_8sBlUEnesSCZA,4,Vancouver,0.03,0.06,0.01,0.28,0.91,0.02,0.69,0.98,0.54,0.03
60,609229,YIMAkkwK_8sBlUEnesSCZA,3,Vancouver,0.05,0.06,0.04,0.57,0.37,0.1,0.27,0.48,0.14,0.08
61,707217,YIMAkkwK_8sBlUEnesSCZA,2,Vancouver,0.01,0,0.02,0.1,0.13,0.97,0.99,0.98,0.88,0.71
62,564673,Ttdi1GklLuUL2Jfz25NAOQ,5,Vancouver,0.23,0.15,0.29,0.29,0.33,0.16,0.45,0.33,0.4,0.22
63,509272,Ttdi1GklLuUL2Jfz25NAOQ,5,Vancouver,0.83,0.65,0.9,0.78,0.57,0.05,0.16,0.05,0.15,0.15
64,448446,Ttdi1GklLuUL2Jfz25NAOQ,5,Vancouver,0.24,0.45,0.52,0.54,0.38,0.03,0.19,0.15,0.22,0.21
65,309515,Ttdi1GklLuUL2Jfz25NAOQ,5,Vancouver,0.99,1,0.99,0.96,0.83,0,0,0.01,0.03,0.08
66,780179,Ttdi1GklLuUL2Jfz25NAOQ,5,Vancouver,1,1,1,0.99,0.94,0,0,0,0.01,0.03
67,303177,Ttdi1GklLuUL2Jfz25NAOQ,4,Vancouver,0.71,0.74,0.9,0.61,0.5,0.04,0.1,0.04,0.27,0.13
68,777745,Ttdi1GklLuUL2Jfz25NAOQ,4,Vancouver,1,1,0.99,0.93,0.89,0,0,0.01,0.05,0.04
69,694306,Ttdi1GklLuUL2Jfz25NAOQ,3,Vancouver,0.07,0.25,0.06,0.17,0.57,0.02,0.24,0.63,0.51,0.08
70,596009,Ttdi1GklLuUL2Jfz25NAOQ,1,Vancouver,0.01,0.01,0.01,0.11,0.18,0.98,0.96,0.98,0.87,0.62
71,710272,Ttdi1GklLuUL2Jfz25NAOQ,2,Vancouver,0.11,0.16,0.11,0.11,0.09,0.02,0.03,0.03,0.08,0.02
72,212250,mvCO6pRpfMB0_1GLlwgZRw,4,Vancouver,0.4,0.52,0.8,0.43,0.54,0.21,0.37,0.17,0.45,0.22
73,470384,mvCO6pRpfMB0_1GLlwgZRw,4,Vancouver,1,1,0.99,0.98,0.95,0,0,0.01,0.01,0.03
74,8139,mvCO6pRpfMB0_1GLlwgZRw,4,Vancouver,0.32,0.31,0.31,0.71,0.63,0.01,0.24,0.35,0.15,0.1
75,253928,mvCO6pRpfMB0_1GLlwgZRw,5,Vancouver,0.71,0.78,1,0.72,0.73,0.17,0.15,0,0.21,0.17
76,601686,mvCO6pRpfMB0_1GLlwgZRw,5,Vancouver,0.71,0.22,0.93,0.45,0.46,0.11,0.67,0.05,0.46,0.26
77,418515,mvCO6pRpfMB0_1GLlwgZRw,3,Vancouver,0.62,0.2,0.48,0.71,0.77,0.09,0.68,0.43,0.23,0.12
78,524583,mvCO6pRpfMB0_1GLlwgZRw,3,Vancouver,0.22,1,0.41,0.49,0.41,0.02,0,0.16,0.26,0.2
79,49991,mvCO6pRpfMB0_1GLlwgZRw,1,Vancouver,0.03,0.01,0.01,0.14,0.13,0.86,0.99,0.98,0.85,0.87
80,38669,mvCO6pRpfMB0_1GLlwgZRw,2,Vancouver,0.01,0.01,0.01,0.12,0.11,0.98,0.98,0.99,0.87,0.82
81,498900,jyBiQI0XtESTGHXODCFsJQ,4,Vancouver,0.44,0.89,0.93,0.92,0.9,0.16,0.08,0.05,0.07,0.05
82,495524,jyBiQI0XtESTGHXODCFsJQ,4,Vancouver,0.99,1,0.02,0.51,0.81,0,0,0.98,0.37,0.1
83,539986,jyBiQI0XtESTGHXODCFsJQ,4,Vancouver,0.23,0.28,0.43,0.26,0.38,0.32,0.44,0.39,0.61,0.26
84,138496,jyBiQI0XtESTGHXODCFsJQ,5,Vancouver,0.26,0.58,0.64,0.67,0.48,0.22,0.12,0.14,0.26,0.12
85,210498,jyBiQI0XtESTGHXODCFsJQ,5,Vancouver,0.95,0.97,0.96,0.99,0.89,0.02,0.02,0.02,0.01,0.05
86,581278,jyBiQI0XtESTGHXODCFsJQ,3,Vancouver,0.59,0.32,0.64,0.43,0.5,0.16,0.64,0.34,0.51,0.29
87,485240,jyBiQI0XtESTGHXODCFsJQ,2,Vancouver,0.05,0.01,0.02,0.14,0.36,0.56,0.97,0.97,0.81,0.15
88,425103,jyBiQI0XtESTGHXODCFsJQ,1,Vancouver,0.03,0.01,0.02,0.04,0.09,0.36,0.72,0.78,0.79,0.45
89,584576,EvVCF3mompCg3PPkpqip2A,4,Vancouver,0.36,0.48,0.18,0.44,0.32,0.11,0.5,0.69,0.48,0.23
90,58507,EvVCF3mompCg3PPkpqip2A,4,Vancouver,0.04,0.21,0.51,0.13,0.16,0.42,0.54,0.47,0.68,0.5
91,533734,EvVCF3mompCg3PPkpqip2A,4,Vancouver,0.01,0.78,0.71,0.87,0.7,0,0.11,0.16,0.07,0.09
92,599795,EvVCF3mompCg3PPkpqip2A,4,Vancouver,1,0.73,0.82,0.82,0.65,0,0.15,0.1,0.13,0.12
93,31498,EvVCF3mompCg3PPkpqip2A,5,Vancouver,0.93,0.97,0.82,0.91,0.66,0.01,0.01,0.09,0.06,0.14
94,795201,EvVCF3mompCg3PPkpqip2A,5,Vancouver,1,0.31,1,0.63,0.75,0,0.62,0,0.32,0.17
95,31657,EvVCF3mompCg3PPkpqip2A,3,Vancouver,0.13,0.04,0.03,0.33,0.22,0.53,0.71,0.93,0.54,0.3
96,701189,EvVCF3mompCg3PPkpqip2A,1,Vancouver,0.51,0.53,0.52,0.69,0.97,0.42,0.37,0.43,0.24,0.01
97,739962,EvVCF3mompCg3PPkpqip2A,2,Vancouver,0.13,0.51,0.24,0.46,0.36,0.49,0.44,0.65,0.43,0.25
98,346440,JcxSnoXt1q6LdSEgwJsdRQ,4,Vancouver,0.5,0.51,0.51,0.47,0.55,0.26,0.48,0.48,0.5,0.21
99,135871,JcxSnoXt1q6LdSEgwJsdRQ,4,Vancouver,0.57,0.63,0.94,0.61,0.61,0.2,0.3,0.03,0.31,0.2
100,133898,JcxSnoXt1q6LdSEgwJsdRQ,4,Vancouver,0.64,0.69,0.6,0.77,0.7,0.07,0.15,0.33,0.17,0.13
101,68912,JcxSnoXt1q6LdSEgwJsdRQ,3,Vancouver,0.14,0.09,0.03,0.24,0.44,0.78,0.87,0.96,0.72,0.47
102,720270,JcxSnoXt1q6LdSEgwJsdRQ,3,Vancouver,0.4,0.6,0.64,0.45,0.43,0.07,0.21,0.23,0.39,0.25
103,84843,JcxSnoXt1q6LdSEgwJsdRQ,5,Vancouver,1,1,0.98,0.87,0.88,0,0,0.02,0.12,0.06
104,111444,JcxSnoXt1q6LdSEgwJsdRQ,2,Vancouver,0,0.01,0.01,0.05,0.1,0.1,0.95,0.97,0.93,0.6
105,416462,JcxSnoXt1q6LdSEgwJsdRQ,1,Vancouver,0.03,0.05,0.04,0.33,1,0.1,0.65,0.71,0.46,0
106,360461,WJJajrWufzhcnaP43jPIDA,5,Vancouver,0.12,0.48,0.17,0.43,0.62,0.75,0.43,0.8,0.51,0.17
107,456663,WJJajrWufzhcnaP43jPIDA,5,Vancouver,0.97,0.54,0.91,0.86,0.71,0.01,0.3,0.07,0.1,0.12
108,470395,WJJajrWufzhcnaP43jPIDA,5,Vancouver,0.51,0.18,0.39,0.98,0.56,0.09,0.44,0.32,0.02,0.14
109,520671,WJJajrWufzhcnaP43jPIDA,5,Vancouver,1,1,1,1,0.98,0,0,0,0,0.01
110,283294,WJJajrWufzhcnaP43jPIDA,5,Vancouver,0.27,0.75,1,0.91,0.79,0.29,0.14,0,0.05,0.06
111,517248,WJJajrWufzhcnaP43jPIDA,4,Vancouver,1,1,1,0.99,0.91,0,0,0,0.01,0.03
112,502845,WJJajrWufzhcnaP43jPIDA,4,Vancouver,0.01,0.07,0.14,0.18,0.08,0.02,0.22,0.42,0.4,0.2
113,556232,WJJajrWufzhcnaP43jPIDA,3,Vancouver,0,0,0.99,0.05,0.14,0.98,0.99,0,0.94,0.74
114,860045,WJJajrWufzhcnaP43jPIDA,2,Vancouver,1,0.01,0.01,0.05,0.08,0,0.98,0.96,0.93,0.74
115,488100,WJJajrWufzhcnaP43jPIDA,1,Vancouver,0.32,0.01,0.98,0.35,1,0.58,0.99,0.01,0.59,0
116,585404,w3HSOOqJednBOYbO3fajvQ,5,Vancouver,0.15,0.76,0.93,0.76,0.62,0.29,0.15,0.04,0.19,0.13
117,592836,w3HSOOqJednBOYbO3fajvQ,5,Vancouver,1,0.98,0.45,0.84,0.78,0,0.02,0.51,0.13,0.1
118,834827,w3HSOOqJednBOYbO3fajvQ,5,Vancouver,0.51,0.49,0.5,0.46,0.28,0.05,0.13,0.12,0.34,0.15
119,137100,w3HSOOqJednBOYbO3fajvQ,4,Vancouver,1,1,0.76,0.9,0.58,0,0,0.05,0.07,0.04
120,420012,w3HSOOqJednBOYbO3fajvQ,4,Vancouver,0.32,0.87,0.94,0.88,0.64,0.11,0.08,0.03,0.09,0.11
121,843864,w3HSOOqJednBOYbO3fajvQ,4,Vancouver,0.79,0.67,0.71,0.67,0.69,0.06,0.23,0.22,0.27,0.17
122,818464,w3HSOOqJednBOYbO3fajvQ,3,Vancouver,0.08,0.06,0.06,0.07,0.12,0.43,0.7,0.78,0.83,0.61
123,73935,w3HSOOqJednBOYbO3fajvQ,2,Vancouver,1,0.15,0.08,0.54,0.75,0,0.79,0.9,0.41,0.13
124,457678,w3HSOOqJednBOYbO3fajvQ,1,Vancouver,0,0.01,0.01,0.01,0.02,0.5,0.97,0.85,0.87,0.56
125,462444,g93Zs0YcG5B7Zcz_YWXXkA,5,Vancouver,1,0.99,0.99,0.99,0.95,0,0,0.01,0.01,0.02
126,655354,g93Zs0YcG5B7Zcz_YWXXkA,5,Vancouver,0,0.99,0.55,0.89,0.06,0.14,0,0.14,0.06,0.07
127,826696,g93Zs0YcG5B7Zcz_YWXXkA,5,Vancouver,0.99,1,0.99,0.98,0.92,0,0,0.01,0.01,0.03
128,68204,g93Zs0YcG5B7Zcz_YWXXkA,5,Vancouver,1,0.99,0.99,0.99,0.93,0,0,0.01,0.01,0.03
129,595202,g93Zs0YcG5B7Zcz_YWXXkA,2,Vancouver,0,0.01,0.01,0.04,0.08,0.6,0.98,0.9,0.9,0.57
130,327747,g93Zs0YcG5B7Zcz_YWXXkA,1,Vancouver,0.01,0.01,0.01,0.04,0.23,0.98,0.99,0.99,0.96,0.73
131,835189,g93Zs0YcG5B7Zcz_YWXXkA,4,Vancouver,1,1,0.99,1,1,0,0,0,0,0
132,475735,g93Zs0YcG5B7Zcz_YWXXkA,3,Vancouver,0.81,0.7,0.86,0.97,0.86,0.13,0.23,0.12,0.02,0.05
133,521534,slBGJOdBV1KHzNoWf2e2FQ,1,Vancouver,0.01,0.01,0.01,0.03,0.08,0.67,0.95,0.95,0.92,0.56
134,676129,slBGJOdBV1KHzNoWf2e2FQ,1,Vancouver,0,0.01,0.01,0.03,0.03,0.36,0.98,0.91,0.91,0.57
135,294055,slBGJOdBV1KHzNoWf2e2FQ,1,Vancouver,0.01,0,0,0.01,0.02,0.99,0.98,0.99,0.98,0.9
136,604598,slBGJOdBV1KHzNoWf2e2FQ,3,Vancouver,0.12,0.99,0.03,0.17,0.09,0.01,0,0.35,0.29,0.11
137,412209,slBGJOdBV1KHzNoWf2e2FQ,3,Vancouver,0.19,0.07,0.09,0.6,0.78,0.24,0.54,0.68,0.26,0.05
138,669930,slBGJOdBV1KHzNoWf2e2FQ,2,Vancouver,0.02,0.04,0.02,0.2,0.69,0.76,0.82,0.93,0.68,0.1
139,91158,slBGJOdBV1KHzNoWf2e2FQ,2,Vancouver,0.75,0.01,0.9,0.22,0.72,0.1,0.99,0.05,0.72,0.14
140,746175,slBGJOdBV1KHzNoWf2e2FQ,5,Vancouver,1,0.57,0.08,1,0.37,0,0.38,0.89,0,0.5
141,771681,slBGJOdBV1KHzNoWf2e2FQ,4,Vancouver,0.53,1,0.61,0.6,0.43,0.04,0,0.12,0.24,0.16
142,231663,_aGG6e3dWYrKyFNpdK_vpA,3,Vancouver,0.17,0.55,0.96,0.76,0.59,0.15,0.2,0.02,0.14,0.13
143,780968,_aGG6e3dWYrKyFNpdK_vpA,3,Vancouver,0.07,0.02,0.03,0.09,0.27,0.05,0.91,0.93,0.86,0.19
144,171819,_aGG6e3dWYrKyFNpdK_vpA,3,Vancouver,0.04,0.54,0.51,0.11,0.13,0.32,0.13,0.39,0.66,0.33
145,320792,_aGG6e3dWYrKyFNpdK_vpA,4,Vancouver,0.61,0.75,1,0.82,0.79,0.26,0.18,0,0.15,0.09
146,483049,_aGG6e3dWYrKyFNpdK_vpA,4,Vancouver,0.84,0.99,0.87,0.8,0.78,0.06,0.01,0.08,0.15,0.1
147,80668,_aGG6e3dWYrKyFNpdK_vpA,2,Vancouver,0.04,0.08,0.04,0.15,0.57,0.92,0.56,0.95,0.83,0.34
148,578521,_aGG6e3dWYrKyFNpdK_vpA,2,Vancouver,0.01,0.02,0.5,0.08,0.22,0.47,0.95,0.49,0.91,0.49
149,600993,_aGG6e3dWYrKyFNpdK_vpA,1,Vancouver,0.22,0.04,0.09,0.34,0.47,0.74,0.93,0.88,0.62,0.4
150,581417,_aGG6e3dWYrKyFNpdK_vpA,5,Vancouver,0.31,0.2,0.97,0.26,0.47,0.26,0.56,0.01,0.56,0.31
151,733304,DrQuKhjlSbamzC9F0lXOzQ,5,Vancouver,0.2,0.6,0.22,0.75,0.38,0.06,0.06,0.27,0.05,0.12
152,809238,DrQuKhjlSbamzC9F0lXOzQ,5,Vancouver,1,1,0.98,1,0.88,0,0,0.01,0,0.04
153,628199,DrQuKhjlSbamzC9F0lXOzQ,5,Vancouver,1,1,0.96,1,0.86,0,0,0.03,0,0.09
154,593949,DrQuKhjlSbamzC9F0lXOzQ,5,Vancouver,0.96,0.99,0.99,0.98,0.92,0.02,0.01,0.01,0.02,0.04
155,312666,DrQuKhjlSbamzC9F0lXOzQ,1,Vancouver,0.02,0.01,0.01,0.04,0.17,0.81,0.96,0.99,0.91,0.5
156,283903,DrQuKhjlSbamzC9F0lXOzQ,3,Vancouver,0.96,1,0.82,0.9,0.72,0.02,0,0.14,0.07,0.12
157,793265,DrQuKhjlSbamzC9F0lXOzQ,4,Vancouver,0.43,0.52,0.53,0.63,0.54,0.23,0.24,0.28,0.25,0.18
158,762952,DrQuKhjlSbamzC9F0lXOzQ,2,Vancouver,0.01,0.01,0.04,0.29,0.49,0.02,0.98,0.93,0.66,0.25
159,246381,ZkwdIVRaUpsxG6vNq1-0_A,4,Vancouver,1,0.03,0.07,0.01,0.51,0,0.92,0.88,0.99,0.28
160,91198,ZkwdIVRaUpsxG6vNq1-0_A,4,Vancouver,0,1,0.48,0.9,0.45,0,0,0.05,0.04,0.08
161,752372,ZkwdIVRaUpsxG6vNq1-0_A,1,Vancouver,0,0.01,0.01,0.01,0.1,0.18,0.98,0.99,0.99,0.57
162,544397,ZkwdIVRaUpsxG6vNq1-0_A,1,Vancouver,0.51,0.02,0.06,0.39,0.92,0.23,0.94,0.91,0.54,0.02
163,250825,ZkwdIVRaUpsxG6vNq1-0_A,3,Vancouver,0,0.01,1,0.01,0.25,0.48,0.98,0,0.99,0.42
164,368935,ZkwdIVRaUpsxG6vNq1-0_A,2,Vancouver,0.35,1,0.88,0.86,1,0.13,0,0.06,0.07,0
165,683616,ZkwdIVRaUpsxG6vNq1-0_A,5,Vancouver,0.16,0.59,0.59,0.78,0.63,0.29,0.23,0.2,0.17,0.12
166,57540,C8K5GvhWNYY4zBijgekT3g,3,Vancouver,1,0.83,0.93,0.89,0.66,0,0.12,0.05,0.08,0.17
167,456981,C8K5GvhWNYY4zBijgekT3g,3,Vancouver,0.74,0.35,0.47,0.78,0.32,0.07,0.5,0.46,0.16,0.11
168,513103,C8K5GvhWNYY4zBijgekT3g,3,Vancouver,0.01,0.55,0.47,0.57,0.52,0.02,0.3,0.34,0.33,0.1
169,370638,C8K5GvhWNYY4zBijgekT3g,4,Vancouver,0.13,0.41,0.28,0.74,0.56,0.02,0.09,0.27,0.13,0.11
170,395282,C8K5GvhWNYY4zBijgekT3g,4,Vancouver,1,1,0.49,0.47,0.73,0,0,0.45,0.48,0.12
171,712894,C8K5GvhWNYY4zBijgekT3g,2,Vancouver,1,0.02,0.02,0.04,0.18,0,0.93,0.97,0.93,0.63
172,292637,C8K5GvhWNYY4zBijgekT3g,2,Vancouver,1,0.02,0.01,0.19,0.58,0,0.96,0.99,0.77,0.35
173,366643,C8K5GvhWNYY4zBijgekT3g,5,Vancouver,0.87,0.91,0.96,0.98,0.9,0.08,0.07,0.03,0.01,0.06
174,824271,C8K5GvhWNYY4zBijgekT3g,1,Vancouver,0.99,0.01,0.01,0.01,0.13,0.01,0.99,0.99,0.98,0.79
175,303306,SyQ1JRfIbMLIUlFHAkEB6w,1,Vancouver,0.01,0.18,0.12,0.15,0.52,0.23,0.36,0.54,0.55,0.02
176,515144,SyQ1JRfIbMLIUlFHAkEB6w,1,Vancouver,0,0,0,0.01,0.03,0.92,0.99,0.99,0.98,0.79
177,317942,SyQ1JRfIbMLIUlFHAkEB6w,1,Vancouver,0,0.01,0,0.01,0.04,0.99,0.99,0.99,0.99,0.93
178,451622,SyQ1JRfIbMLIUlFHAkEB6w,3,Vancouver,0.12,0.54,0.17,1,0.69,0.78,0.39,0.76,0,0.25
179,233500,SyQ1JRfIbMLIUlFHAkEB6w,3,Vancouver,0.05,0.23,0.49,0.96,1,0.89,0.67,0.48,0.03,0
180,458688,SyQ1JRfIbMLIUlFHAkEB6w,2,Vancouver,0.03,0.46,0.01,0.02,0.57,0.93,0.49,0.98,0.97,0.32
181,417714,SyQ1JRfIbMLIUlFHAkEB6w,5,Vancouver,0.27,0.99,0.97,1,0.91,0.28,0,0.01,0,0.03
182,734968,SyQ1JRfIbMLIUlFHAkEB6w,4,Vancouver,0.02,0.3,0.07,0.25,0.52,0.47,0.37,0.74,0.52,0.18
183,411808,ZHbiidBB8LVmh_hQQbRjig,4,Vancouver,0.99,1,0.98,0.97,0.82,0,0,0.01,0.02,0.06
184,30116,ZHbiidBB8LVmh_hQQbRjig,4,Vancouver,1,0.02,0.99,0.83,0.61,0,0.97,0,0.1,0.13
185,361230,ZHbiidBB8LVmh_hQQbRjig,4,Vancouver,0.89,0.45,1,0.34,0.38,0.04,0.31,0,0.5,0.2
186,417001,ZHbiidBB8LVmh_hQQbRjig,4,Vancouver,0.77,0.81,0.95,0.84,0.71,0,0.1,0.02,0.11,0.1
187,421025,ZHbiidBB8LVmh_hQQbRjig,3,Vancouver,0.67,0.09,0.23,0.39,0.68,0.13,0.84,0.72,0.49,0.23
